n,m,alpha,beta,gamma,block_size_x,block_size_y,copy_time,sec_per_iter,write_time,is_shared_mem,is_block,is_column,is_row
3000,3000,1.000000,0.900000,0.001000,3000,16,20.892576,0.777827,0.000000,0,0,0,1
3000,3000,1.000000,0.900000,0.001000,3000,32,22.407455,0.778480,0.000000,0,0,0,1
3000,3000,1.000000,0.900000,0.001000,3000,64,24.582720,0.776300,0.000000,0,0,0,1
3000,3000,1.000000,0.900000,0.001000,3000,128,20.399103,0.777463,0.000000,0,0,0,1
3000,3000,1.000000,0.900000,0.001000,3000,256,24.970943,0.776709,0.000000,0,0,0,1
3000,3000,1.000000,0.900000,0.001000,3000,512,24.779488,0.776431,0.000000,0,0,0,1
4000,4000,1.000000,0.900000,0.001000,4000,8,35.380482,1.352043,0.000000,0,0,0,1
4000,4000,1.000000,0.900000,0.001000,4000,16,35.241791,1.352768,0.000000,0,0,0,1
4000,4000,1.000000,0.900000,0.001000,4000,32,37.014366,1.352005,0.000000,0,0,0,1
4000,4000,1.000000,0.900000,0.001000,4000,64,34.995041,1.352520,0.000000,0,0,0,1
4000,4000,1.000000,0.900000,0.001000,4000,128,35.179039,1.352281,0.000000,0,0,0,1
4000,4000,1.000000,0.900000,0.001000,4000,256,35.555904,1.352812,0.000000,0,0,0,1
4000,4000,1.000000,0.900000,0.001000,4000,512,43.769569,1.351482,0.000000,0,0,0,1
5000,5000,1.000000,0.900000,0.001000,5000,8,66.529091,2.114279,0.000000,0,0,0,1
5000,5000,1.000000,0.900000,0.001000,5000,16,56.139233,2.114550,0.000000,0,0,0,1
5000,5000,1.000000,0.900000,0.001000,5000,32,64.671776,2.113558,0.000000,0,0,0,1
5000,5000,1.000000,0.900000,0.001000,5000,64,65.913216,2.113937,0.000000,0,0,0,1
5000,5000,1.000000,0.900000,0.001000,5000,128,65.407646,2.113994,0.000000,0,0,0,1
5000,5000,1.000000,0.900000,0.001000,5000,256,65.847198,2.114234,0.000000,0,0,0,1
5000,5000,1.000000,0.900000,0.001000,5000,512,55.607552,2.114623,0.000000,0,0,0,1
6000,6000,1.000000,0.900000,0.001000,6000,8,78.327965,3.036804,0.000000,0,0,0,1
6000,6000,1.000000,0.900000,0.001000,6000,16,79.231071,3.036188,0.000000,0,0,0,1
6000,6000,1.000000,0.900000,0.001000,6000,32,79.190689,3.036670,0.000000,0,0,0,1
6000,6000,1.000000,0.900000,0.001000,6000,64,79.169411,3.036196,0.000000,0,0,0,1
6000,6000,1.000000,0.900000,0.001000,6000,128,79.059647,3.036579,0.000000,0,0,0,1
6000,6000,1.000000,0.900000,0.001000,6000,256,78.416191,3.036396,0.000000,0,0,0,1
6000,6000,1.000000,0.900000,0.001000,6000,512,79.079422,3.036565,0.000000,0,0,0,1
7000,7000,1.000000,0.900000,0.001000,7000,8,106.066750,4.133903,0.000000,0,0,0,1
7000,7000,1.000000,0.900000,0.001000,7000,16,103.482018,4.129845,0.000000,0,0,0,1
7000,7000,1.000000,0.900000,0.001000,7000,32,106.375359,4.130426,0.000000,0,0,0,1
7000,7000,1.000000,0.900000,0.001000,7000,64,106.431747,4.130307,0.000000,0,0,0,1
7000,7000,1.000000,0.900000,0.001000,7000,128,106.332703,4.133193,0.000000,0,0,0,1
7000,7000,1.000000,0.900000,0.001000,7000,256,106.553474,4.133001,0.000000,0,0,0,1
7000,7000,1.000000,0.900000,0.001000,7000,512,106.600929,4.132701,0.000000,0,0,0,1
8000,8000,1.000000,0.900000,0.001000,8000,8,137.671677,5.369318,0.000000,0,0,0,1
8000,8000,1.000000,0.900000,0.001000,8000,16,137.977661,5.369653,0.000000,0,0,0,1
8000,8000,1.000000,0.900000,0.001000,8000,32,138.552185,5.369438,0.000000,0,0,0,1
8000,8000,1.000000,0.900000,0.001000,8000,64,138.071136,5.369816,0.000000,0,0,0,1
8000,8000,1.000000,0.900000,0.001000,8000,128,138.181351,5.366965,0.000000,0,0,0,1
8000,8000,1.000000,0.900000,0.001000,8000,256,137.982330,5.369001,0.000000,0,0,0,1
8000,8000,1.000000,0.900000,0.001000,8000,512,138.235931,5.369287,0.000000,0,0,0,1
9000,9000,1.000000,0.900000,0.001000,9000,8,175.720444,6.810629,0.000000,0,0,0,1
9000,9000,1.000000,0.900000,0.001000,9000,16,204.871643,6.811208,0.000000,0,0,0,1
9000,9000,1.000000,0.900000,0.001000,9000,32,173.459076,6.810553,0.000000,0,0,0,1
9000,9000,1.000000,0.900000,0.001000,9000,64,175.036896,6.814173,0.000000,0,0,0,1
9000,9000,1.000000,0.900000,0.001000,9000,128,175.147079,6.814389,0.000000,0,0,0,1
9000,9000,1.000000,0.900000,0.001000,9000,256,173.029343,6.810583,0.000000,0,0,0,1
9000,9000,1.000000,0.900000,0.001000,9000,512,173.869720,6.814888,0.000000,0,0,0,1
10000,10000,1.000000,0.900000,0.001000,10000,8,215.196121,8.393623,0.000000,0,0,0,1
10000,10000,1.000000,0.900000,0.001000,10000,16,215.206497,8.389992,0.000000,0,0,0,1
10000,10000,1.000000,0.900000,0.001000,10000,32,215.156418,8.393029,0.000000,0,0,0,1
10000,10000,1.000000,0.900000,0.001000,10000,64,256.053986,8.390258,0.000000,0,0,0,1
10000,10000,1.000000,0.900000,0.001000,10000,128,259.115112,8.390635,0.000000,0,0,0,1
10000,10000,1.000000,0.900000,0.001000,10000,256,220.328262,8.390509,0.000000,0,0,0,1
10000,10000,1.000000,0.900000,0.001000,10000,512,220.889694,8.395329,0.000000,0,0,0,1
